appl_id,project,nctid
10146328,DA049417-03,NCT04111939
10146329,DA050071-03,NCT04216719
10146329,DA050071-03,NCT04873401
10147017,DA050069-03,NCT04069624
10151601,DA050074-03,NCT04276792
10152577,DA050072-03,NCT04309565
10153744,DA049436-03,NCT03918850
10153744,DA049436-03,NCT04218201
10156320,MH113135-04S1,NCT03136094
10156594,NR019943-01,NCT04923334
10156633,MH112138-05S1,NCT03104504
10157227,MH115840-02S1,NCT04201184
10160255,DA050077-03S1,NCT04408313
10166251,CA189824-07S3,NCT01988571
10166251,CA189824-07S3,NCT02063828
10166251,CA189824-07S3,NCT02589938
10166251,CA189824-07S3,NCT02791581
10166251,CA189824-07S3,NCT02822573
10166251,CA189824-07S3,NCT03060096
10166251,CA189824-07S3,NCT03148080
10166251,CA189824-07S3,NCT03291587
10166251,CA189824-07S3,NCT03475186
10166251,CA189824-07S3,NCT03746314
10166251,CA189824-07S3,NCT03935282
10166251,CA189824-07S3,NCT03963739
10166251,CA189824-07S3,NCT03998202
10166251,CA189824-07S3,NCT04208490
10166251,CA189824-07S3,NCT04462302
10168176,DA050174-02,NCT04135703
10170501,HD095254-03S1,NCT01353313
10170501,HD095254-03S1,NCT01702805
10170501,HD095254-03S1,NCT01793129
10170501,HD095254-03S1,NCT02951130
10170501,HD095254-03S1,NCT03169881
10170501,HD095254-03S1,NCT03340727
10170501,HD095254-03S1,NCT03456336
10170518,AT010799-01S2,NCT04248933
10173220,DA049436-02S2,NCT03918850
10173220,DA049436-02S2,NCT04218201
10174456,NS113661-02S1,NCT04085406
10175416,DK123812-01S1,NCT04571619
10175741,DA040316-06S4,NCT03559179
10175741,DA040316-06S4,NCT04198428
10175741,DA040316-06S4,NCT04345718
10175741,DA040316-06S4,NCT04867382
10175741,DA040316-06S4,NCT04921787
10177211,DA050072-02S2,NCT04309565
10178740,DA050325-02S1,NCT04199728
10202826,AR076734-01S1,NCT04870957
10204264,DA050235-02,NCT04617938
10208052,DK123787-01S1,NCT04571619
10208334,DA050234-02,NCT04839978
10209094,DA050250-02,NCT04678960
10210513,AG067593-02,NCT04570371
10212519,DA050398-02,NCT05006846
10212519,DA050398-02,NCT05017272
10212539,DA050173-02,NCT04550715
10216519,AR076568-02,NCT04747314
10216546,AR076573-02,NCT04409353
