Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
10135903,DA049631-03,"NCT04491175 (HSSTUDY, CT), NCT04494841 (HSSTUDY)"
10136565,DA047094-03,"NCT03980184 (HSSTUDY, CT)"
10136935,MH121738-02S2,NCT04846504 (CT)
10139426,MH114087-04S1,NA (HSSTUDY)
10140552,DA040316-06S3,"NCT03559179 (CT), NCT04198428 (HSSTUDY, CT), NCT04345718 (HSSTUDY, CT), NCT04867382 (CT), NCT04921787 (CT)"
10140834,MH121954-01S1,"NCT04559893 (HSSTUDY, CT), NCT04634279 (CT)"
10141215,DA050077-03,"NCT04408313 (HSSTUDY, CT)"
10141532,DA050174-02S1,NCT04135703 (HSSTUDY)
10142414,DA049406-03,"NCT04111939 (HSSTUDY, CT)"
10143219,DA049415-03,"NCT04111939 (HSSTUDY, CT)"
10143220,DA049444-03,"NCT03918850 (HSSTUDY), NCT03936985 (CT)"
10143221,DA049468-03,NCT03918850 (HSSTUDY)
10144414,DA049435-03,"NCT04418453 (HSSTUDY, CT)"
10146327,DA049412-03,"NCT04111939 (HSSTUDY, CT)"
10146328,DA049417-03,"NCT04111939 (HSSTUDY, CT)"
10146329,DA050071-03,"NCT04216719 (HSSTUDY), NCT04873401 (CT)"
10147017,DA050069-03,"NCT04069624 (HSSTUDY, CT)"
10151601,DA050074-03,NCT04276792 (CT)
10152577,DA050072-03,"NCT04309565 (HSSTUDY, CT)"
10153744,DA049436-03,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
10156320,MH113135-04S1,"NCT03136094 (HSSTUDY, CT)"
10156594,NR019943-01,NCT04923334 (HSSTUDY)
10156633,MH112138-05S1,"NCT03104504 (HSSTUDY, CT)"
10157227,MH115840-02S1,"NCT04201184 (HSSTUDY, CT)"
10160255,DA050077-03S1,"NCT04408313 (HSSTUDY, CT)"
10166251,CA189824-07S3,"NCT01988571 (HSSTUDY), NCT02063828 (HSSTUDY, CT), NCT02589938 (HSSTUDY), NCT02791581 (HSSTUDY), NCT02822573 (HSSTUDY, CT), NCT03060096 (HSSTUDY, CT), NCT03148080 (HSSTUDY, CT), NCT03291587 (HSSTUDY), NCT03475186 (HSSTUDY, CT), NCT03746314 (CT), NCT03935282 (HSSTUDY), NCT03963739 (HSSTUDY, CT), NCT03998202 (HSSTUDY), NCT04208490 (HSSTUDY), NCT04462302 (HSSTUDY, CT)"
10167785,MH114087-05,NA (HSSTUDY)
10168176,DA050174-02,NCT04135703 (HSSTUDY)
10170501,HD095254-03S1,"NCT01353313 (HSSTUDY), NCT01702805 (HSSTUDY), NCT01793129 (HSSTUDY), NCT02951130 (HSSTUDY), NCT03169881 (HSSTUDY), NCT03340727 (HSSTUDY), NCT03456336 (HSSTUDY)"
10170518,AT010799-01S2,NCT04248933 (CT)
10173220,DA049436-02S2,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
10174456,NS113661-02S1,"NCT04085406 (HSSTUDY, CT)"
10175416,DK123812-01S1,NCT04571619 (HSSTUDY)
10175741,DA040316-06S4,"NCT03559179 (CT), NCT04198428 (HSSTUDY, CT), NCT04345718 (HSSTUDY, CT), NCT04867382 (CT), NCT04921787 (CT)"
10177211,DA050072-02S2,"NCT04309565 (HSSTUDY, CT)"
10178740,DA050325-02S1,"NCT04199728 (HSSTUDY, CT)"
10202826,AR076734-01S1,NCT04870957 (CT)
10204264,DA050235-02,"NCT04617938 (HSSTUDY, CT)"
10208052,DK123787-01S1,NCT04571619 (HSSTUDY)
10208334,DA050234-02,"NCT04839978 (HSSTUDY, CT)"
10209094,DA050250-02,"NCT04678960 (HSSTUDY, CT)"
10210513,AG067593-02,NCT04570371 (HSSTUDY)
10212519,DA050398-02,"NCT05006846 (HSSTUDY), NCT05017272 (HSSTUDY)"
10212539,DA050173-02,NCT04550715 (HSSTUDY)
10216519,AR076568-02,NCT04747314 (HSSTUDY)
10216546,AR076573-02,NCT04409353 (HSSTUDY)
10217509,DA044279-03,NCT04752189 (HSSTUDY)
10219462,AT010606-03,NCT04712981 (CT)
10219647,CA189824-07S2,"NCT01988571 (HSSTUDY), NCT02063828 (HSSTUDY, CT), NCT02589938 (HSSTUDY), NCT02791581 (HSSTUDY), NCT02822573 (HSSTUDY, CT), NCT03060096 (HSSTUDY, CT), NCT03148080 (HSSTUDY, CT), NCT03291587 (HSSTUDY), NCT03475186 (HSSTUDY, CT), NCT03746314 (CT), NCT03935282 (HSSTUDY), NCT03963739 (HSSTUDY, CT), NCT03998202 (HSSTUDY), NCT04208490 (HSSTUDY), NCT04462302 (HSSTUDY, CT)"
10223257,DA050398-03,"NCT05006846 (HSSTUDY), NCT05017272 (HSSTUDY)"
10224964,DA047926-02S1,NCT04222556 (HSSTUDY)
10224983,DA050235-02S1,"NCT04617938 (HSSTUDY, CT)"
10224988,NS115111-02,NCT05045625 (HSSTUDY)
10236607,AG067493-02,NCT04523714 (HSSTUDY)
10239201,NS115631-03,"NCT04144972 (HSSTUDY, CT)"
10239279,AT010621-02,"NCT04129450 (HSSTUDY, CT)"
10249370,NS115111-03,NCT05045625 (HSSTUDY)
10250448,AT009763-05,"NCT04172038 (CT), NCT04770480 (CT)"
10250564,DA044279-04,NCT04752189 (HSSTUDY)
10250682,DA051241-02,NCT04648228 (HSSTUDY)
10252066,DA050235-03,"NCT04617938 (HSSTUDY, CT)"
10252951,DA050234-03,"NCT04839978 (HSSTUDY, CT)"
10253179,AT010604-01S1,"NCT04080180 (CT), NCT04464421 (HSSTUDY), NCT04693416 (HSSTUDY), NCT05075330 (HSSTUDY)"
10253180,AT010806-01S1,NCT04736550 (CT)
10253306,AR076387-02,NCT04683042 (HSSTUDY)
10258046,AR076568-02S1,NCT04747314 (HSSTUDY)
